email,name,city,phone,rating,reviews,demo_url
mariscal_frank@yahoo.com,Unlimited Air Conditioning and Heating,Dallas,+1 945-998-7066,4.8,240.0,https://demos.kinesiscreatives.com/dallas-unlimited-air-conditioning-and-heating.html
gilbert@jadeair.net,"Jade Air, LLC",Dallas,+1 214-923-7904,4.8,146.0,https://demos.kinesiscreatives.com/dallas-jade-air-llc.html
info@silverspurhome.com,"Silver Spur Air, Heating, & Plumbing of Dallas",Dallas,+1 972-290-1996,4.9,30.0,https://demos.kinesiscreatives.com/dallas-silver-spur-air-heating-plumbing-of-dallas.html
staggs_randy@yahoo.com,Dallas Heating and Air Conditioning,Dallas,+1 972-423-0012,4.8,216.0,https://demos.kinesiscreatives.com/dallas-dallas-heating-and-air-conditioning.html
evan@q1es.com,Quality 1 Energy Systems Heating & Air Conditioning,Dallas,+1 469-351-5521,4.9,356.0,https://demos.kinesiscreatives.com/dallas-quality-1-energy-systems-heating-air-conditioning.html
jan@hjac.com,"Harlen Johnson HVAC, Plumbing & Electrical",Dallas,+1 972-402-6198,4.8,1162.0,https://demos.kinesiscreatives.com/dallas-harlen-johnson-hvac-plumbing-electrical.html
info@codyandsons.com,"Cody & Sons Plumbing, Heating & Air",Dallas,+1 469-200-3366,4.9,2237.0,https://demos.kinesiscreatives.com/dallas-cody-sons-plumbing-heating-air.html
tobyp@strikeforceac.com,StrikeForce Heating & Air LLC,Dallas,+1 214-570-4966,4.9,206.0,https://demos.kinesiscreatives.com/dallas-strikeforce-heating-air-llc.html
jonpinhorn.typedesign@gmail.com,Alpha Heating & Cooling Llc.,Dallas,+1 214-945-8799,5.0,128.0,https://demos.kinesiscreatives.com/dallas-alpha-heating-cooling-llc.html
info@metroacs.com,Metro Air Conditioning Heating & Services,Dallas,+1 214-304-7658,4.8,335.0,https://demos.kinesiscreatives.com/dallas-metro-air-conditioning-heating-services.html
dallas@temperaturepro.com,TemperaturePro,Dallas,+1 469-485-5115,5.0,190.0,https://demos.kinesiscreatives.com/dallas-temperaturepro.html
classicairac@gmail.com,Coolinary Arts Heating & Cooling,Dallas,+1 972-975-2665,5.0,233.0,https://demos.kinesiscreatives.com/dallas-coolinary-arts-heating-cooling.html
daniel@dial1plumbing.com,"Dial One Johnson Plumbing, Cooling & Heating",Dallas,+1 469-949-1741,4.9,650.0,https://demos.kinesiscreatives.com/dallas-dial-one-johnson-plumbing-cooling-heating.html
admin@proactiveairconditioning.com,Proactive Air Conditioning,Dallas,+1 469-921-1136,5.0,92.0,https://demos.kinesiscreatives.com/dallas-proactive-air-conditioning.html
spetty@berkys.com,"Berkeys Plumbing, A/C & Electrical",Dallas,+1 214-612-0133,4.9,3288.0,https://demos.kinesiscreatives.com/dallas-berkeys-plumbing-ac-electrical.html
aaron@ellisac.com,Ellis Air Conditioning & Heating,Dallas,+1 972-362-1501,4.7,59.0,https://demos.kinesiscreatives.com/dallas-ellis-air-conditioning-heating.html
mark@eastinair.com,Eastin Heating and Air,Dallas,+1 972-278-0613,4.8,485.0,https://demos.kinesiscreatives.com/dallas-eastin-heating-and-air.html
ricky@callberrybest.com,Berry Best Cooling & Heating,Dallas,+1 972-928-9482,5.0,96.0,https://demos.kinesiscreatives.com/dallas-berry-best-cooling-heating.html
dispatch@myazac.com,Serveway Heating and Air Conditioning,Dallas,+1 469-231-9379,4.9,374.0,https://demos.kinesiscreatives.com/dallas-serveway-heating-and-air-conditioning.html
raymond@theclimatetech.com,"Climate Tech Air Conditioning & Heating, LLC",Dallas,+1 972-254-6283,4.4,33.0,https://demos.kinesiscreatives.com/dallas-climate-tech-air-conditioning-heating-llc.html
dallas.tx@aireservdallas.com,Aire Serv of Dallas,Dallas,+1 214-838-7191,4.8,248.0,https://demos.kinesiscreatives.com/dallas-aire-serv-of-dallas.html
mminielly@texasairzone.com,Texas AirZone LLC,Dallas,+1 214-851-3886,5.0,824.0,https://demos.kinesiscreatives.com/dallas-texas-airzone-llc.html
colin.hickey@worldtravel.com,Rescue Air and Plumbing,Dallas,+1 972-201-3253,4.9,3752.0,https://demos.kinesiscreatives.com/dallas-rescue-air-and-plumbing.html
